Source,Study,ControlSite,ControlID,Group,SpeciesCode,SpeciesName,Continent,Country,Longitude,Latitude,LocationUncertainty,StudyYear,YearsInStudy,InfraN,ControlN,InfraD,ControlD,InfraAbundance_original,ControlAbundance_original,AbundanceUnit,InfraSD_original,ControlSD_original,SDEstimate,InfraA,ControlA,InfraSD,ControlSD,MaxDist,Dist,MinDist,MaxCDist,CDist,MinCDist,Habitat,InfraType,StudyQualityA,StudyQualityB,Note
Bayne et al. 2016,49a,49a,49ab275,Birds,b275,Empidonax alnorum,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,1.1667,1.5,Sightings,NA,NA,NA,1.1667,1.5,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab275,Birds,b275,Empidonax alnorum,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,1.5,1.5,Sightings,NA,NA,NA,1.5,1.5,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab291,Birds,b291,Setophaga ruticilla,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,5.4167,4.25,Sightings,NA,NA,NA,5.4167,4.25,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab291,Birds,b291,Setophaga ruticilla,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,4.25,4.25,Sightings,NA,NA,NA,4.25,4.25,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab219,Birds,b219,Turdus migratorius,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.6667,1.6667,Sightings,NA,NA,NA,0.6667,1.6667,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab219,Birds,b219,Turdus migratorius,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,1.6667,1.6667,Sightings,NA,NA,NA,1.6667,1.6667,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab286,Birds,b286,Picoides dorsalis,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,1,0.4167,Sightings,NA,NA,NA,1,0.4167,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab286,Birds,b286,Picoides dorsalis,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.4167,0.4167,Sightings,NA,NA,NA,0.4167,0.4167,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab288,Birds,b288,Setophaga castanea,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,3.3333,8,Sightings,NA,NA,NA,3.3333,8,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab288,Birds,b288,Setophaga castanea,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,8,8,Sightings,NA,NA,NA,8,8,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab282,Birds,b282,Mniotilita varia,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,2.6667,2.6667,Sightings,NA,NA,NA,2.6667,2.6667,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab282,Birds,b282,Mniotilita varia,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,2.6667,2.6667,Sightings,NA,NA,NA,2.6667,2.6667,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab237,Birds,b237,Poecile atricapillus,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,1.4167,2,Sightings,NA,NA,NA,1.4167,2,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab237,Birds,b237,Poecile atricapillus,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,2,2,Sightings,NA,NA,NA,2,2,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab241,Birds,b241,setophaga virens,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.0833,0.5833,Sightings,0.2887,NA,From data,0.0833,0.5833,0.2887,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab241,Birds,b241,setophaga virens,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.5833,0.5833,Sightings,NA,NA,NA,0.5833,0.5833,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab263,Birds,b263,Vireo solitarius,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.5833,0.75,Sightings,NA,NA,NA,0.5833,0.75,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab263,Birds,b263,Vireo solitarius,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.75,0.75,Sightings,NA,NA,NA,0.75,0.75,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab236,Birds,b236,Poecile hudsonicus,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,8.4167,3.3333,Sightings,NA,NA,NA,8.4167,3.3333,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab236,Birds,b236,Poecile hudsonicus,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,3.3333,3.3333,Sightings,NA,NA,NA,3.3333,3.3333,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab273,Birds,b273,Certhia americana,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0,0.4167,Sightings,NA,NA,NA,0.0417,0.4167,0.1443,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab273,Birds,b273,Certhia americana,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.4167,0.4167,Sightings,NA,NA,NA,0.4167,0.4167,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab283,Birds,b283,Molothrus ater,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.3333,0.0833,Sightings,NA,0.2887,NA,0.3333,0.0833,NA,0.2887,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab283,Birds,b283,Molothrus ater,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.0833,0.0833,Sightings,0.2887,0.2887,From data,0.0833,0.0833,0.2887,0.2887,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab271,Birds,b271,Cardellina canadensis,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,1.0833,2.1667,Sightings,NA,NA,NA,1.0833,2.1667,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab271,Birds,b271,Cardellina canadensis,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,2.1667,2.1667,Sightings,NA,NA,NA,2.1667,2.1667,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab292,Birds,b292,Setophaga tigrina,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.25,1.0833,Sightings,NA,NA,NA,0.25,1.0833,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab292,Birds,b292,Setophaga tigrina,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,1.0833,1.0833,Sightings,NA,NA,NA,1.0833,1.0833,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab269,Birds,b269,Bombycilla cedrorum,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.3333,0.75,Sightings,NA,NA,NA,0.3333,0.75,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab269,Birds,b269,Bombycilla cedrorum,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.75,0.75,Sightings,NA,NA,NA,0.75,0.75,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab265,Birds,b265,Spizella passerina,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,17.5833,13.9167,Sightings,NA,NA,NA,17.5833,13.9167,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab265,Birds,b265,Spizella passerina,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,13.9167,13.9167,Sightings,NA,NA,NA,13.9167,13.9167,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab294,Birds,b294,Spizella pallida,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.25,0.1667,Sightings,NA,NA,NA,0.25,0.1667,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab294,Birds,b294,Spizella pallida,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.1667,0.1667,Sightings,NA,NA,NA,0.1667,0.1667,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab109,Birds,b109,Corvus corax,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.25,0.5,Sightings,NA,NA,NA,0.25,0.5,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab109,Birds,b109,Corvus corax,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.5,0.5,Sightings,NA,NA,NA,0.5,0.5,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab277,Birds,b277,Geothlypis trichas,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.1667,0.0833,Sightings,NA,0.2887,NA,0.1667,0.0833,NA,0.2887,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab277,Birds,b277,Geothlypis trichas,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.0833,0.0833,Sightings,0.2887,0.2887,From data,0.0833,0.0833,0.2887,0.2887,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab284,Birds,b284,Oporornis agilis,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.5833,0.4167,Sightings,NA,NA,NA,0.5833,0.4167,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab284,Birds,b284,Oporornis agilis,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.4167,0.4167,Sightings,NA,NA,NA,0.4167,0.4167,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab226,Birds,b226,Junco hyemalis,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,16.75,5.9167,Sightings,NA,NA,NA,16.75,5.9167,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab226,Birds,b226,Junco hyemalis,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,5.9167,5.9167,Sightings,NA,NA,NA,5.9167,5.9167,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab230,Birds,b230,Passerella iliaca,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.4167,0.25,Sightings,NA,NA,NA,0.4167,0.25,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab230,Birds,b230,Passerella iliaca,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.25,0.25,Sightings,NA,NA,NA,0.25,0.25,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab235,Birds,b235,Regulus satrapa,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.5,1.4167,Sightings,NA,NA,NA,0.5,1.4167,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab235,Birds,b235,Regulus satrapa,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,1.4167,1.4167,Sightings,NA,NA,NA,1.4167,1.4167,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab231,Birds,b231,Perisoreus canadensis,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,9.1667,3.9167,Sightings,NA,NA,NA,9.1667,3.9167,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab231,Birds,b231,Perisoreus canadensis,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,3.9167,3.9167,Sightings,NA,NA,NA,3.9167,3.9167,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab227,Birds,b227,Picoides villosus,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.6667,0.5,Sightings,NA,NA,NA,0.6667,0.5,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab227,Birds,b227,Picoides villosus,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.5,0.5,Sightings,NA,NA,NA,0.5,0.5,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab181,Birds,b181,Catharus guttatus,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,4.25,3,Sightings,NA,NA,NA,4.25,3,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab181,Birds,b181,Catharus guttatus,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,3,3,Sightings,NA,NA,NA,3,3,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab268,Birds,b268,Ammodramus lecontei,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.9167,0,Sightings,NA,NA,NA,0.9167,0.0417,NA,0.1443,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab268,Birds,b268,Ammodramus lecontei,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0,0,Sightings,NA,NA,NA,0.0417,0.0417,0.1443,0.1443,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab276,Birds,b276,Empidonax minimus,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,3.4167,4.3333,Sightings,NA,NA,NA,3.4167,4.3333,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab276,Birds,b276,Empidonax minimus,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,4.3333,4.3333,Sightings,NA,NA,NA,4.3333,4.3333,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab295,Birds,b295,Tringa flavipes,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.25,0.1667,Sightings,NA,NA,NA,0.25,0.1667,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab295,Birds,b295,Tringa flavipes,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.1667,0.1667,Sightings,NA,NA,NA,0.1667,0.1667,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab228,Birds,b228,Melospiza lincolnii,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,4.3333,1.5,Sightings,NA,NA,NA,4.3333,1.5,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab228,Birds,b228,Melospiza lincolnii,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,1.5,1.5,Sightings,NA,NA,NA,1.5,1.5,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab239,Birds,b239,Setophaga magnolia,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,9.1667,15.5833,Sightings,NA,NA,NA,9.1667,15.5833,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab239,Birds,b239,Setophaga magnolia,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,15.5833,15.5833,Sightings,NA,NA,NA,15.5833,15.5833,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab224,Birds,b224,Geothlypis philadelphia,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.25,0.5,Sightings,NA,NA,NA,0.25,0.5,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab224,Birds,b224,Geothlypis philadelphia,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.5,0.5,Sightings,NA,NA,NA,0.5,0.5,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab274,Birds,b274,Colaptes auratus,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.3333,0,Sightings,NA,NA,NA,0.3333,0.0417,NA,0.1443,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab274,Birds,b274,Colaptes auratus,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0,0,Sightings,NA,NA,NA,0.0417,0.0417,0.1443,0.1443,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab229,Birds,b229,Parkesia novaeboracensis,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.6667,0.0833,Sightings,NA,0.2887,NA,0.6667,0.0833,NA,0.2887,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab229,Birds,b229,Parkesia novaeboracensis,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.0833,0.0833,Sightings,0.2887,0.2887,From data,0.0833,0.0833,0.2887,0.2887,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab278,Birds,b278,Oreothlypis celata,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.25,0,Sightings,NA,NA,NA,0.25,0.0417,NA,0.1443,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab278,Birds,b278,Oreothlypis celata,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0,0,Sightings,NA,NA,NA,0.0417,0.0417,0.1443,0.1443,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab143,Birds,b143,Seiurus aurocapillus,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,6.6667,12.25,Sightings,NA,NA,NA,6.6667,12.25,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab143,Birds,b143,Seiurus aurocapillus,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,12.25,12.25,Sightings,NA,NA,NA,12.25,12.25,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab289,Birds,b289,Setophaga palmorum,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,6.5833,5.4167,Sightings,NA,NA,NA,6.5833,5.4167,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab289,Birds,b289,Setophaga palmorum,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,5.4167,5.4167,Sightings,NA,NA,NA,5.4167,5.4167,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab300,Birds,b300,Vireo philadelphicus,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.8333,1.5833,Sightings,NA,NA,NA,0.8333,1.5833,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab300,Birds,b300,Vireo philadelphicus,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,1.5833,1.5833,Sightings,NA,NA,NA,1.5833,1.5833,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab42,Birds,b42,Carduelis pinus,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.3333,0.3333,Sightings,NA,NA,NA,0.3333,0.3333,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab42,Birds,b42,Carduelis pinus,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.3333,0.3333,Sightings,NA,NA,NA,0.3333,0.3333,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab242,Birds,b242,Sitta canadensis,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.8333,1.3333,Sightings,NA,NA,NA,0.8333,1.3333,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab242,Birds,b242,Sitta canadensis,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,1.3333,1.3333,Sightings,NA,NA,NA,1.3333,1.3333,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab299,Birds,b299,Vireo olivaceus,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,4,7.8333,Sightings,NA,NA,NA,4,7.8333,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab299,Birds,b299,Vireo olivaceus,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,7.8333,7.8333,Sightings,NA,NA,NA,7.8333,7.8333,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab285,Birds,b285,Pheucticus ludovicianus,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,1.0833,1.5833,Sightings,NA,NA,NA,1.0833,1.5833,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab285,Birds,b285,Pheucticus ludovicianus,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,1.5833,1.5833,Sightings,NA,NA,NA,1.5833,1.5833,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab234,Birds,b234,Regulus calendula,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,19.3333,9.3333,Sightings,NA,NA,NA,19.3333,9.3333,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab234,Birds,b234,Regulus calendula,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,9.3333,9.3333,Sightings,NA,NA,NA,9.3333,9.3333,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab270,Birds,b270,Bonasa umbellus,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.25,1,Sightings,NA,NA,NA,0.25,1,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab270,Birds,b270,Bonasa umbellus,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,1,1,Sightings,NA,NA,NA,1,1,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab297,Birds,b297,Tringa solitaria,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0.1667,0,Sightings,NA,NA,NA,0.1667,0.0417,NA,0.1443,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab297,Birds,b297,Tringa solitaria,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,0,0,Sightings,NA,NA,NA,0.0417,0.0417,0.1443,0.1443,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab369,Birds,b369,Catharus ustulatus,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,11.6667,11.75,Sightings,NA,NA,NA,11.6667,11.75,NA,NA,25,12.5,NA,425,275,125,Boreal forest,Seismic line,1,0,50m radius
Bayne et al. 2016,49a,49a,49ab369,Birds,b369,Catharus ustulatus,North-America,"USA, Canada",-117,57,500000,2002-2014,12,12,12,1,1,11.75,11.75,Sightings,NA,NA,NA,11.75,11.75,NA,NA,425,275,125,425,275,125,Boreal forest,Seismic line,1,0,50m radius
